WHLOXUNSKMKUBG-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
ASCHWZUAIORKAQ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
OYAWYQINHWGNPP-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
IXRNPRKKSQITDG-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
JBJKMLBHKVIMDU-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
HCTWLFMFPHIWRB-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
VPHFOSJREJUJLE-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
BNDGLIQHIXQCGH-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
TYZSLYMOTRKQKV-UHFFFAOYSA-N	Depsipeptides	CHEMONTID:0001961
IWWIUFKFIGNODE-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
BGTOSMSNWDWIHH-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
UALHYEJYHBBBDV-UHFFFAOYSA-N	Acylaminosugars	CHEMONTID:0000146
LXBONTWETHCIME-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
SANKIZJODNINBD-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
CCNGVJWGHBTQPP-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
HJNAMYKWQNWCIX-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
HJWOBYKUKCJSES-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
URKDJBFSALJNAD-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
QMVZTJWZCDWESW-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
OUAOHKIAQVQQMO-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
DWEKGEIKWAMYOG-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
UMMMQZDCUYMSGO-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
RFFQXYNMAAKXPS-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
SPFDIWCCRMJGKP-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
KGRUCOJSVROUMW-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
NPCHWMKHBUDROE-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
UBACIIOEFBCVFB-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
VOGMYECGRQCLNF-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
PIVOGARXJSMVJY-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
XFHUSLXZYUCHLZ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
AMADYOJBMBPWIJ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
DRDCFLDRYQKQRO-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
OJNZBXXIBBCFGT-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
SQXRCTNNWBMWGN-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
BPQBZOWXVOJYCP-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
MJORQMSRMMHBDF-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
IGIRNFYGNTZFHG-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
FOHVZDAQSBCXMV-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
GBKSEHUEEZYOAJ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZREJTBXXAHFITQ-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
KQEJVESBXGRSBO-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
URBINSBJCMAJLR-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
XCRNWAVVPPCAFA-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
NKPYYNVJGCWBCQ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
UZQBVZQWUPRIOK-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
FBHVZCYICHZEOA-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
FVFIITRJXQJWMX-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
CDVIJYXAARFQNT-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
MMLGJQQGQSHHKF-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
DKRPWJBOLSSZLH-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
DACJALPQSPXULN-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
IPCIJJDULOBOQN-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
BFRZPLQRMDGKLQ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
YXDPUMIPTRKSJR-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
GFWVSMILYRXIKP-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
FHELYLFNUNSBIL-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
YUSLJFRGMGOZGO-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
JTVRFSQHCWLGIA-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
MIGWPPNMEAOYDF-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
